City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
375,Celestun,20.8667,-90.4,66.99,64,98,14.72,MX,2022-01-30 02:00:51
376,Chichli,22.8333,78.8167,52.99,37,0,3.69,IN,2022-01-30 02:00:52
377,Arteaga,18.4667,-102.4167,61.34,85,0,3.67,MX,2022-01-30 02:00:52
378,Birao,10.2849,22.7882,61.93,18,45,7.9,CF,2022-01-30 02:00:52
379,Banda Aceh,5.5577,95.3222,81.7,70,59,6.04,ID,2022-01-30 02:00:53
380,Fontenay-Le-Comte,46.5833,-1.0,45.05,95,17,5.37,FR,2022-01-30 02:00:53
381,Blythe,33.6103,-114.5964,63.03,12,94,6.6,US,2022-01-30 02:00:54
382,Miles City,46.4083,-105.8406,36.52,76,100,1.86,US,2022-01-30 02:00:54
383,Half Moon Bay,37.4636,-122.4286,59.88,68,0,8.05,US,2022-01-30 02:00:54
384,Srivardhan,18.0333,73.0167,68.29,46,82,4.63,IN,2022-01-30 02:00:55
385,Oranjemund,-28.55,16.4333,64.65,88,61,5.64,NA,2022-01-30 02:00:55
386,Harper,4.375,-7.7169,78.08,87,17,3.78,LR,2022-01-30 02:00:56
387,Coroico,-16.1889,-67.7271,62.65,99,100,2.46,BO,2022-01-30 02:00:56
388,Inuvik,68.3499,-133.7218,-19.88,96,98,6.78,CA,2022-01-30 02:00:56
389,Klyuchi,52.2667,79.1667,6.35,87,44,11.01,RU,2022-01-30 02:00:57
390,Narsaq,60.9167,-46.05,14.22,93,100,12.17,GL,2022-01-30 02:00:57
391,Magadan,59.5667,150.8,19.24,76,100,15.3,RU,2022-01-30 02:00:58
392,Eydhafushi,5.1033,73.0708,82.2,67,59,15.05,MV,2022-01-30 02:00:58
393,Ndele,8.4109,20.6473,65.93,21,97,5.46,CF,2022-01-30 02:00:58
394,Sambava,-14.2667,50.1667,73.18,91,100,4.56,MG,2022-01-30 02:00:59
395,Dekalb,33.7504,-84.2333,30.9,42,0,5.93,US,2022-01-30 02:00:59
396,Morondava,-20.2833,44.2833,77.47,83,0,3.74,MG,2022-01-30 02:01:00
397,Qasigiannguit,68.8193,-51.1922,10.65,85,100,10.51,GL,2022-01-30 02:01:00
398,Bikaner,28.0167,73.3,56.28,22,6,2.51,IN,2022-01-30 01:58:19
399,Phangnga,8.4509,98.5298,84.9,66,34,2.01,TH,2022-01-30 02:01:01
400,Phonhong,18.5007,102.4166,71.42,47,12,0.36,LA,2022-01-30 02:01:01
401,Doha,25.2867,51.5333,58.98,72,0,8.05,QA,2022-01-30 02:01:02
402,Turayf,31.6725,38.6637,39.31,54,0,9.46,SA,2022-01-30 02:01:02
403,College,64.8569,-147.8028,-17.54,98,5,2.75,US,2022-01-30 02:01:02
404,Nome,64.5011,-165.4064,-4.54,85,3,3.6,US,2022-01-30 02:01:03
